,genre_ids,title,poster_path,tmdb_id,popularity,keywords,vote_count,vote_average,director,imdb_votes,certificate,num_stunts,num_fx,year,month,group5,group4,group7,group6,group1,group3,group2
5207,"[10752, 28, 18]",The Trench,/yu19Toc54a5jvwd1B59519CSlVx.jpg,27123.0,1.261641,"world war i,trauma,bravery,friendship,battlefield",11.0,5.9,William Boyd,1978.0,15,2.0,4.0,1999.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3018,"[10752, 80, 18, 9648, 10749, 53]",The Good German,/3LjHC2CWDkzoiPehf3GViujws0.jpg,182.0,1.566141,"berlin,corruption,nazi background,love of one's life,chauffeur,black market,missile,postwar period,war correspondent,allied,truth,murder,humanity",74.0,5.8,Steven Soderbergh,21955.0,15,28.0,11.0,2006.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3893,"[10752, 18, 36]",Army of Crime,/eIie46wCmqSbNUTRoKpfHCHDtxl.jpg,30432.0,1.396051,"paris,resistance,world war ii,ss,armenian genocide,ss commander",28.0,6.6,Robert Guédiguian,2649.0,14,8.0,1.0,2009.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1252,"[10752, 35, 18]",Underground,/bnrLsunhGI5FO316sSThtAHikdV.jpg,11902.0,2.045152,"world war ii,lie,cellar,weapon,belgrad,widerstand",116.0,7.3,Emir Kusturica,46346.0,15,7.0,6.0,1995.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
362,"[36, 80, 18]",Public Enemies,/qisfF7ENdmGI8fpQJoCxIIU1QhH.jpg,11322.0,3.069871,"cinema,hiding place,machinegun,prison guard,escape from prison,dillinger",1088.0,6.5,Michael Mann,239148.0,15,41.0,31.0,2009.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
826,"[10752, 18]",5 Days of War,/7hRpmThsUm68m1F8MNtxEKa4Irc.jpg,50601.0,2.550357,"journalist,interpreter,georgia europe,war zone",49.0,5.7,Renny Harlin,12382.0,15,27.0,10.0,2011.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3297,"[10752, 18, 36]",Paradise Road,/A6leUBF4WYHyPs75dOO0UF5WFaJ.jpg,77223.0,1.514975,"prison,japanese,island,singapore",14.0,5.9,Bruce Beresford,4370.0,15,22.0,8.0,1997.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4506,"[10752, 18]",Max,/fzl48iRWkalx6c84lokVBoTQJjS.jpg,13560.0,1.322247,"infidelity,controversy",32.0,6.0,Menno Meyjes,6418.0,15,8.0,13.0,2002.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5055,"[10752, 18, 53, 80, 28]",Who'll Stop the Rain,/AexCYBIfZnPonWBwKREoauPzXEm.jpg,31941.0,1.273824,"vietnam veteran,based on novel,heroin,vietnam,vietnam war,chase,drug smuggling,drug trade,machine gun",8.0,5.9,Karel Reisz,1908.0,R,3.0,2.0,1978.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4649,"[36, 10752, 28, 18]",Heaven & Earth,/hXSUatA39pbfwaqOGFHFdwswAXc.jpg,31642.0,1.31044,"vietnam,vietnam war,biography,dog,immigrant experience",43.0,6.3,Oliver Stone,11159.0,15,5.0,3.0,1993.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
347,[10752],Enemy at the Gates,/dOWSbEn3ucyoiBE9IgFWAo1O7Sg.jpg,853.0,3.093464,"winter,sniper,world war ii,stalingrad",789.0,7.1,Jean-Jacques Annaud,199120.0,15,30.0,46.0,2001.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5004,"[36, 18]",Goodbye Bafana,/bGWqSXOgzuVdMdbPz59nrARPWJe.jpg,1874.0,1.278692,"jail guard,prison cell,south africa,apartheid,nelson mandela,escape,xenophobia",29.0,6.9,Bille August,10501.0,PG-12,3.0,3.0,2007.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,"[10752, 18, 28, 10749]",Top Gun,/orGXnBKfT41LxZhitLkXhqUfJJW.jpg,744.0,3.715476,"lovesickness,loss of lover,fighter pilot,self-discovery,pilot,ejection seat,dying and death,officer,training camp,air force,airplane,dangerous,battle assignment,u.s. navy,hostility,secret love,cowardliness,pilot school",1317.0,6.6,Tony Scott,229536.0,PG,7.0,8.0,1986.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5004,"[36, 18]",Goodbye Bafana,/bGWqSXOgzuVdMdbPz59nrARPWJe.jpg,1874.0,1.278692,"jail guard,prison cell,south africa,apartheid,nelson mandela,escape,xenophobia",29.0,6.9,Bille August,10501.0,PG-12,3.0,3.0,2007.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3933,"[36, 18, 10749]",Vatel,/cxd0iV2DzZsqICOgIftFSlPPTpB.jpg,7093.0,1.392808,"france,cook,prince",24.0,5.9,Roland Joffé,6498.0,12,13.0,5.0,2000.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4161,"[10752, 18, 36]",The Tragedy of Macbeth,/zghViMv9tpKJEfLIxDevI2x7bKd.jpg,11316.0,1.364087,"scotland,ambush,showdown,queen,kingdom,murder,battlefield,tragedy,violence,combat,guilt,throne,sword duel,warrior,shakespeare play",61.0,7.0,Roman Polanski,10193.0,R,5.0,1.0,1971.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3297,"[10752, 18, 36]",Paradise Road,/A6leUBF4WYHyPs75dOO0UF5WFaJ.jpg,77223.0,1.514975,"prison,japanese,island,singapore",14.0,5.9,Bruce Beresford,4370.0,15,22.0,8.0,1997.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5196,"[36, 18]",Ghosts of Mississippi,/eG4VUHBAfukZ5uc7MLxa6xBWg0e.jpg,31908.0,1.262509,"assassin,widow,trial,civil rights,activist",34.0,6.1,Rob Reiner,8815.0,15,3.0,1.0,1996.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5285,"[10752, 35, 18]",Beautiful People,/8QHFKeRzZpN1CnPqAahlwGPnbLz.jpg,61416.0,1.256306,"england,refugee,independent film,bosnian war",8.0,5.9,Jasmin Dizdar,2233.0,15,1.0,1.0,1999.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5170,"[10752, 18]",Fateless,/lKPlz8kavNZfBw1UILSAhPU0NPL.jpg,41508.0,1.26418,"budapest,hungary,concentration camp,world war ii",22.0,6.1,Lajos Koltai,5790.0,NC-16,4.0,6.0,2005.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
347,[10752],Enemy at the Gates,/dOWSbEn3ucyoiBE9IgFWAo1O7Sg.jpg,853.0,3.093464,"winter,sniper,world war ii,stalingrad",789.0,7.1,Jean-Jacques Annaud,199120.0,15,30.0,46.0,2001.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
79,"[10752, 18, 28, 10749]",Top Gun,/orGXnBKfT41LxZhitLkXhqUfJJW.jpg,744.0,3.715476,"lovesickness,loss of lover,fighter pilot,self-discovery,pilot,ejection seat,dying and death,officer,training camp,air force,airplane,dangerous,battle assignment,u.s. navy,hostility,secret love,cowardliness,pilot school",1317.0,6.6,Tony Scott,229536.0,PG,7.0,8.0,1986.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1174,"[36, 18]",Milk,/sFYmJJSVXqfqPI79tx4UG4IR5Jb.jpg,10139.0,2.080062,"gay,san francisco,homophobia,mayor,biography,politics,politician,election campaign,homosexuality,morality,election,mayoral campaign",487.0,7.1,Gus Van Sant,142349.0,15,14.0,9.0,2008.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1174,"[36, 18]",Milk,/sFYmJJSVXqfqPI79tx4UG4IR5Jb.jpg,10139.0,2.080062,"gay,san francisco,homophobia,mayor,biography,politics,politician,election campaign,homosexuality,morality,election,mayoral campaign",487.0,7.1,Gus Van Sant,142349.0,15,14.0,9.0,2008.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3342,"[10752, 12, 18, 10749]",The Horseman on the Roof,/uT9rty5z1lyI7C0ScwS7XPX0pZX.jpg,11876.0,1.508863,"italian,new love,provence,horse,exile",22.0,6.5,Jean-Paul Rappeneau,4988.0,15,7.0,2.0,1995.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
